client,block,t,tprime,sigma_old,eps_old,linear_cka_old,align10
0,0,0,2,55.07417678833008,0.0012235234025865793,0.9654276967048645,0.7454780340194702
0,1,0,2,137.69976806640625,0.00200312165543437,0.8518715500831604,0.6385013461112976
0,2,0,2,164.35704040527344,0.0013534565223380923,0.6476721167564392,0.5
0,3,0,2,209.9146270751953,0.00398174487054348,0.5548350214958191,0.35142120718955994
0,4,0,2,124.03182220458984,0.0022705351002514362,0.4541666805744171,0.20568478107452393
1,0,0,1,54.95358657836914,0.001253160065971315,0.9841589331626892,0.7905013561248779
1,1,0,1,179.96176147460938,0.0018455355893820524,0.8874529600143433,0.6707124710083008
1,2,0,1,215.84561157226562,0.0018127497751265764,0.6910454630851746,0.5554090142250061
1,3,0,1,298.1438293457031,0.0012927093775942922,0.5944352746009827,0.38021111488342285
1,4,0,1,124.04196166992188,0.00046683408436365426,0.46324488520622253,0.21978893876075745
2,0,0,2,49.37770080566406,0.001781889353878796,0.9767279028892517,0.7464114427566528
2,1,0,2,109.1769790649414,0.001963722752407193,0.9392799139022827,0.6966507434844971
2,2,0,2,103.26705169677734,0.0008972723153419793,0.8432508111000061,0.5904305577278137
2,3,0,2,140.77549743652344,0.0029070249292999506,0.7353120446205139,0.43708136677742004
2,4,0,2,113.98695373535156,0.0011737759923562407,0.5213868021965027,0.24473683536052704
3,0,0,1,44.15047073364258,0.0010533652966842055,0.9812533259391785,0.8130435347557068
3,1,0,1,134.3346710205078,0.0020525597501546144,0.8843393325805664,0.6836316585540771
3,2,0,1,173.56985473632812,0.0011187043273821473,0.7193067073822021,0.5437340140342712
3,3,0,1,237.6796417236328,0.0028120093047618866,0.6383325457572937,0.405882328748703
3,4,0,1,113.30574798583984,0.0006023302557878196,0.5221381783485413,0.23708440363407135
4,0,0,2,49.830806732177734,0.0031919069588184357,0.975121259689331,0.7451764941215515
4,1,0,2,105.95706176757812,0.0018245208775624633,0.9314666390419006,0.691529393196106
4,2,0,2,105.63721466064453,0.0016112831654027104,0.8115227222442627,0.5637646913528442
4,3,0,2,132.19053649902344,0.0014315235894173384,0.7118732929229736,0.40705880522727966
4,4,0,2,70.3123779296875,0.0006922036991454661,0.680490255355835,0.24164706468582153
